##################################################
##################################################
# Columns                                        #
# -------                                        #
#                                                #
# 1 = id                                         #
# 2 = system number                              #
# 3 = first name                                 #
# 4 = last name                                  #
# 5 = about (text description)                   #
# 6 = picture usually pic_folder/[something]     #
#                                                #
##################################################
##################################################

(id, num, fname, lname, about, pic)
aa, 100, Alan, Admin, Global Admin for Everything (well as much as possible). Also member of secret forum 6., pic_folder/100.jpg
bb, 101, Betty, Bunting, Forums Global Admin. Member of secret forum 6., pic_folder/101.jpg
cc, 102, Colin, Corgy, Payments Global Admin. Member of secret forum 6., pic_folder/102.jpg
dd, 103, Debbie, Dyson, ABF Payments Officer, pic_folder/103.jpg
ee, 104, Eric, Eastwood, Owner of Fantasy Bridge Club, pic_folder/104.jpg
ff, 105, Fiona, Freckle, Accountant at Fantasy Bridge Club, pic_folder/105.jpg
gg, 106, Gary, Golden, Director at Fantasy Bridge Club, pic_folder/106.jpg
hh, 107, Heidi, Hempstead, Moderator on all public forums, pic_folder/107.jpg
ii, 108, Iain, Igloo, Moderator on all public forums and ABF Payments Officer, pic_folder/108.jpg
jj, 109, Janet, Jumper, Moderator and member of secret forum 6., pic_folder/109.jpg
kk, 110, Keith, Kenneth, Global Moderator., pic_folder/110.jpg
